Dow Agrosciences Industrial Ltda. - Barueri/SP. | Marca comercial: Loyant. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para a cultura de arroz.
Álamos do Brasil Ltda.- Porto Alegre/RS. | Marca comercial: Glifosato 72 WG Alamos. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, ameixa, arroz, banana, cacau, café, cana-de-açúcar, citros, maçã, milho, [1/2]
Tide do Brasil Ltda. - Porto Alegre/RS. | Marca comercial: Acefato Técnico Tide. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Ferbru Participações S.A.- Campinas/SP. | Marca comercial: Chlorothalonil Técnico FB. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Cropchem Ltda.- Porto Alegre/RS. | Marca comercial: Clorotalonil Técnico Cropchem. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Adama Brasil S.A.- Londrina/PR. | Marca comercial: Tiofanato-Metílico Técnico Adama. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Malation Técnico CCAB II. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
CCAB Agro S.A.- São Paulo/SP. | Marca comercial: Malation Técnico CCAB. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
BRA Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Malationa Técnica BRA. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Prentiss Química Ltda. - Campo Largo/PR. | Marca comercial: Malathion Técnico Prentiss. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Proventis Lifescience Defensivos Agrícolas Ltda. -São Paulo/SP. | Marca comercial: Ciproconazol Técnico Proventis II. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Nortox S.A. - Arapongas/PR. | Marca comercial: 2,4-D Técnico Nortox BR. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Adama Brasil S.A.- Londrina/PR, | Marca comercial: Indoxacarbe Técnico Adama. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Syngenta Proteção de Cultivos Ltda. - São Paulo/SP. | Marca comercial: PMG Técnico FH. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Sulphur Mills do Brasil Importação e Exportação de Produtos Agrícolas Ltda. São Paulo/SP. | Marca comercial: Glufosinato Técnico Sulphur Mills. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Helm do Brasil Mercantil Ltda.- São Paulo/SP. | Marca comercial: Glufosinato Y Técnico Helm. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Syncrom Assessoria e Comércio de Produtos Agropecuários Ltda.- São Paulo/SP. | Marca comercial: Glufosinato de Amônio Técnico NGC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Dow Agrosciences Industrial Ltda. - São Paulo/SP. | Marca comercial: Closer. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, citros, tomate e trigo.
Rainbow Defensivos Agrícolas Ltda.- Porto Alegre/RS. | Marca comercial: Cleaner. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de amendoim, batata, berinjela, cebola, cenoura, feijão, mamão, melancia, pepino, rosa e tomate.
Biorisk - Assessoria e Comércio de Produtos | Marca comercial: Azoxystrobin Técnico Biorisk. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
AllierBrasil Agro Ltda. - São Paulo/SP. | Marca comercial: Metomil Técnico YC. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Tradecorp do Brasil Comércio de Insumos | Marca comercial: Cresoxim Metílico Tradecorp Técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico | Trata-se de produto técnico.
Dow Agrosciences Industrial Ltda. - São | Marca comercial: Verter. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, citros, tomate e trigo.
Dow Agrosciences Industrial Ltda.- São | Marca comercial: Exor. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, citros, tomate e trigo.
Dow Agrosciences Industrial Ltda. São Paulo/SP. | Marca comercial: Closer SC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, citros, feijão,
Dow Agrosciences Industrial Ltda. - São | Marca comercial: Exor SC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, citros, feijão,
Dow Agrosciences Industrial Ltda. - São | Marca comercial: Verter SC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, citros, feijão,
Micro-Bio Soluções Ambientais Ltda. - ME. -Santa Bárbara d'Oeste/SP. | Marca comercial: Biobev. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Indicado para todas as culturas com ocorrência do
Prophyto Comércio e Serviços Ltda.- São | Marca comercial: Ralbuzin 480 SC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de batata, café, cana-deaçúcar e soja.
Tecnomyl Brasil Distribuidora de Produtos | Marca comercial: Fluroxipir 80 + Picloram 80 ME Genbra. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para a cultura de pastagens.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Yovel. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, batata, feijão, maçã, melancia, melão e tomate.
Agropaulo Agroindustrial S.A. - Jaguaruana/CE. | Marca comercial: Nat Fungi. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Indicado para todas as culturas com ocorrência dos alvos biológicos Zulia entreriana, Mahanarva fimbriolata e Deois flavopicta.
Dillon Biotecnologia Ltda- Caxias do Sul/RS. | Marca comercial: Beauvel. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Indicado para todas as culturas com ocorrência do
Basf S.A.- São Paulo/SP. | Marca comercial: Standak Duo. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão e milho.
Dow AgroSciences Industrial Ltda. - Barueri/SP. | Marca comercial: Synero. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para Pastagens.
Rotam do Brasil Agroquímica e Produtos | Marca comercial: Aspy 480 SC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de cana-de-açúcar e milho.
Adama S.A. - Londrina/PR. | Marca comercial: Horos Supra. | Classificação toxicológica: Classe II - Altamente Tóxico. | Indicado para a cultura da soja.
Sumitomo Chemical do Brasil Representações | Marca comercial: Cytolin. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de algodão, feijão e soja.
Vectorcontrol Industria e Comércio de Produtos Agropecuários Ltda. - Vinhedo/SP. | Marca comercial: Stregga EC. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Indicado para qualquer cultura com ocorrência dos
Iharabras S.A. Indústrias Químicas - Sorocaba/SP. | Marca comercial: Magneto SC. | Classificação toxicológica: Classe III - Medianamente Toxico. | Indicado para a cultura da cana-de-açúcar.
Nortox S.A. - Arapongas/PR. | Marca comercial: Mancozeb Nortox. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de arroz, banana, batata,
Dow AgroSciences Industrial Ltda. - Barueri/SP. | Marca comercial: Rinskor Técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Oxon Brasil Defensivos Agrícolas Ltda.- São Paulo/SP. | Marca comercial: Azoxystrobin Técnico Oxon. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Dow Agrosciences Industrial Ltda. - São Paulo/SP. | Marca comercial: Atualist. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de Milho e Soja.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. Campinas/SP. | Marca comercial: Covinex 700. | Classificação toxicológica: Classe II - Altamente Tóxico. | Indicado para a cultura do Café.
Oxon Brasil Defensivos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Pireo. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de Algodão, Batata, Citros, Coco, Milho, Pepino, Repolho, Soja, Tomate e Trigo.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Herbzina. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de Cana-de-açúcar, Milho e Sorgo.
Cropchem Ltda. - Porto Alegre/RS. | Marca comercial: Kaner 800 WG. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de Abacaxi, Café, Cana-deaçúcar e Mandioca.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Farmozine. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de Cana-de-açúcar, Milho e Sorgo.
Oligos Biotecnologia Ltda. - São José do Rio Preto/SP. | Marca comercial: Metarhizium Oligos WP. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Indicado para todas as culturas com ocorrência dos alvos biológicos Zulia entreriana, Mahanarva fimbriolata e [1/2]
Nichino do Brasil Agroquimicos Ltda. -Barueri/SP. | Marca comercial: Helmet. | Classificação toxicológica: Classe II - Altamente Tóxico. | Indicado para a cultura da Batata.
Dow AgroSciences Industrial Ltda. Barueri/SP. | Marca comercial: Cloransulam Metil Técnico. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Nº 93 Baisha Road, Xinanjiang, 311600 Jiande, Zhejiang, China. e. Nome químico | Marca comercial: Glufosinato de Amônio Técnico Tecnomyl. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Nº 93 Baisha Road, Xinanjiang, 311600, Jiande, Zhejiang, China. e. Nome químico | Marca comercial: N-(phosphoromethyl) glycine. Nome Comum |  |
Nortox S.A. - Arapongas/PR. | Marca comercial: Glifosato Técnico Nortox IV. |  |
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Clorpirifós Técnico Rainbow. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
CropChem Ltda. Porto Alegre/RS. | Marca comercial: 2,4-D Técnico WI-CropChem. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. Campinas/SP. | Marca comercial: Novalurom Tradecorp Técnico. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
Nortox S.A. - Arapongas/PR. | Marca comercial: Novaluron Técnico Nortox. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
Biorisk - Assessoria e Comércio de Produtos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: Novaluron Técnico Nova. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
FMC Química do Brasil Ltda. - Campinas/SP. | Marca comercial: Novaluron JF Técnico FMC. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Novaluron Técnico CCAB. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Metoxifenozida Técnico Rainbow. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
Nortox S.A. - Arapongas/PR. | Marca comercial: Hexazinona Técnico Nortox BR. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Tecnomyl Brasil distribuidora de Produtos Agrícolas Ltda. - Foz do Iguaçu/PR. | Marca comercial: Hexazinona Técnico Tecnomyl. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Albaugh Agro Brasil Ltda. - São Paulo/SP. | Marca comercial: Broker Técnico CH. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Hexazinona Técnico CCAB. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. - Campinas/SP. | Marca comercial: Hexazinona Tradecorp Técnico. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Nortox S.A. - Arapongas/PR. | Marca comercial: Azoxystrobin Técnico Nortox. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Simbiose Indústria e Comércio de Fertilizantes e Insumos Microbiológicos Ltda. - Cruz Alta/RS. | Marca comercial: Beauvecontrol Extreme. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para qualquer cultura com ocorrência dos alvos [1/2]
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Hexazinona Técnico Milênia BR. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Bayer S.A. - São Paulo/SP. | Marca comercial: Larvin Técnico BCS. | Classificação toxicológica: Classe II - Altamente Tóxico. | Trata-se de produto técnico.
Marca comercial: IMIDACLOPRIDO TÉCNICO JC | Trata-se de produto técnico. | | Classificação toxicológica: Classe II - Altamente Tóxico.
Ouro Fino Química S.A. - Uberaba/MG. | Marca comercial: Glufosinato Técnico OF I. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Coromandel Brasil Ltda. - São Paulo/SP. | Marca comercial: Fipronil Técnico Coromandel. | Classificação toxicológica: Classe II - Altamente Tóxico. | Trata-se de produto técnico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Trinexapaque Etil Técnico Milenia. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - São Paulo/SP. | Marca comercial: Trinexapac Ethyl Técnico UPL. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
Nufarm Indústria Química e Farmacêuca S.A. -Fortaleza/CE. | Marca comercial: Clomazone Técnico Nufarm BR. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
IndoGl Industries do Brasil Ltda. - Barueri/SP. | Marca comercial: Troia. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de Abóbora, Alho, Amendoim, Arroz, Batata, Berinjela, Beterraba, Brócolis, Café, Cebola, Cenoura, [1/2]
Albaugh Agro Brasil Ltda. São Paulo/SP. | Marca comercial: Compass. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de Café, Cana-de-açúcar e Milho.
Ouro Fino Química S.A.- Uberaba/MG. | Marca comercial: Azoxistrobina Técnico Ouro Fino. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Sinon do Brasil Ltda. - Porto Alegre/RS. | Marca comercial: Fipronil Técnico Sinon. | Classificação toxicológica: Classe II - Altamente Tóxico. | Trata-se de produto técnico.
Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda. -Foz do Iguaçu/PR. | Marca comercial: Indoxacarbe Técnico Tecnomyl. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Sulphur Mills do Brasil Importação e Exportação de Produtos Agrícolas Ltda. - São Paulo/SP. | Marca comercial: INDOXACARBE TÉCNICO SULPHUR MILLS. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Nortox S.A. - Arapongas/PR. | Marca comercial: TIOFANATO METIL TÉCNICO NORTOX. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
Syncrom Assessoria e Comércio de Produtos Agropecuários Ltda. - São Paulo/SP. | Marca comercial: TIAMETOXAM TÉCNICO BETACHEM. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Nortox S.A. - Arapongas/PR. | Marca comercial: DIAFENTIUROM TÉCNICO NORTOX. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. -Campinas/SP. | Marca comercial: FOSETIL-AL TRADECORP TÉCNICO. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Ouro Fino Química S.A. - Uberaba/MG. | Marca comercial: ESPIRODICLOFENO TÉCNICO OURO FINO. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Tide do Brasil Ltda. - Porto Alegre/RS. | Marca comercial: IMIDACLOPRIDE TÉCNICO TIDE. | Classificação toxicológica: Classe II - Altamente Tóxico. | Trata-se de produto técnico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: CLOMAZONE TÉCNICO ADAMA. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Nufarm Indústria Química e Farmacêutica S.A. -Maracanaú/CE. | Marca comercial: IMIDACLOPRIDO TÉCNICO NUFARM BR. | Classificação toxicológica: Classe II - Altamente Tóxico. | Trata-se de produto técnico.
Nortox S.A. - Arapongas/PR. | Marca comercial: CARFENTRAZONE ETIL TÉCNICO NORTOX. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
Tradecorp do Brasil comércio de Insumos Agrícolas Ltda. -São Paulo/SP. | Marca comercial: CARFENTRAZONA-ETÍLICA TRADECORP TÉCNICO. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Trata-se de produto técnico.
FMC Química do Brasil Ltda. - Campinas/SP. | Marca comercial: DIFENOCONAZOLE TÉCNICO JS FMC. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: DIFENOCONAZOL TÉCNICO ADAMA BR. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
AllierBrasil Agro Ltda. - São Paulo/SP. | Marca comercial: LAMBDA-CIALOTRINA TÉCNICO IN. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: AMETRINA TÉCNICO MILÊNIA BR. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Ouro Fino Química S.A. - Uberaba/MG. | Marca comercial: GLIFOSATO TÉCNICO OF I. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Alta - América Latina Tecnologia Agrícola Ltda. -Curitiba/PR. | Marca comercial: GLIFOSATO TÉCNICO ALTA IV. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Nortox S.A. - Arapongas/PR. | Marca comercial: GLIFOSATO TÉCNICO NORTOX NTG. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Ouro Fino Química S.A. - Uberaba/MG. | Marca comercial: AMETRINA TÉCNICO OF I | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: GLUFOSINATO DE AMÔNIO TÉCNICO CCAB II. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Diquat CCAB 200 SL. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de Batata (dessecante), Café, Citros, Feijão, Feijão (dessecante), Soja e Soja (dessecante).
Xingfa &amp; Wenda do Brasil Ltda. - Brasília/DF. | Marca comercial: Glifosal. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de Ameixa, Arroz, Banana, Cacau, Café, Canade-açúcar, Citros, Eucalipto, Maçã, Milho, Nectarina, [1/2]
Indofil Industries do Brasil Ltda. - Barueri/SP. | Marca comercial: Salero. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de Abóbora, Alho, Amendoim, Arroz, Batata, Berinjela, Beterraba, Brócolis, Café, Cebola, Cenoura, [1/2]
Iharabras S.A. Indústrias Químicas. Sorocaba/SP. | Marca comercial: Diuron Ji 500 SC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de Abacaxi, Algodão, Cacau, Café, Cana-deaçúcar e Citros.
Rotam do Brasil Agroquímica e Produtos Agrícolas Ltda. -Campinas/SP. | Marca comercial: Freno 240 EC. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de Algodão, Alho, Batata, Café, Cebola, Cenoura, Feijão, Fumo, [1/2]
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Picloram Técnico Adama. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Glufosinato de Amônio Técnico Adama Brasil. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Isoxaflutole Técnico Adama. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico.
Basf S.A. - São Paulo/SP. | Marca comercial: Arrank. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de Algodão e Milho.
Simbiose Indústria e Comércio de Fertilizantes e Insumos Microbiológicos Ltda. - Cruz Alta/RS. | Marca comercial: Bio Zenon. | | Classificação toxicológica: Classe III - Medianamente Tóxico.
Tradecorp do Brasil Comércio de Insumos Agrícolas Ltda. -Campinas/SP. | Marca comercial: Acrux. | Classificação toxicológica: Classe IV - Pouco Tóxico. | Indicado para a cultura da Manga, variedades Tommy Atkins e Haden.
Basf S.A. - São Paulo/SP. | Marca comercial: Cuantiva. | Classificação toxicológica: Classe III - Mediante Tóxico. | Indicado para as culturas de Algodão, Amendoim, Aveia, Batata, Canade-açúcar, Cebola, Cenoura, Citros, Crisântemo, Feijão, Girassol, Maçã, [1/2]
Albaugh Agro Brasil Ltda. - São Paulo/SP. | Marca comercial: Douro 750 WG. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para a cultura da Cana-de-açúcar.
Basf S.A. - São Paulo/SP. | Marca comercial: Novum. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de Algodão, Feijão, Milho e Soja.
Nortox S.A. - Arapongas/PR. | Marca comercial: Clorpirifós Nortox EC. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de algodão, batata, café, cevada, citros, feijão, maçã, milho, pastagens, soja, sorgo, tomate e trigo.
Cropchem Ltda. - Floresta/RS. | Marca comercial: Hodor. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de abóbora, alho, amendoim, arroz, batata, berinjela, beterraba, brócolis, café, cebola, cenoura, cevada, citros, [1/2]
Nortox S.A. - Arapongas/PR. | Marca comercial: Fluazinam Nortox 500 SC. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de batata, cana-de-açúcar, feijão, girassol, maçã, morango, pêssego, soja e tomate.
Helm do Brasil Mercantil Ltda. - São Paulo/SP. | Marca comercial: Imidacloprid H Técnico Helm. | Classificação toxicológica: Classe II - Altamente Tóxico. | Trata-se de produto técnico equivalente clone.
Plurie Soluções Regulatórias Ltda. - São Paulo/SP. | Marca comercial: Cricen. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de feijão e soja.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Sweep Off. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de arroz, café, cana-de-açúcar, milho, pastagens e soja.
Indofil Industries do Brasil Ltda. - Barueri/SP. | Marca comercial: Alicerce. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de abóbora, alho, amendoim, arroz, batata, berinjela, beterraba, brócolis, café, cebola, [1/2]
CCAB Agro S.A. - São Paulo/SP. | Marca comercial: Triclopir CCAB 480 EC. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Indicado para as culturas de arroz irrigado e pastagem.
Nortox S.A. - Arapongas/PR. | Marca comercial: Mancozeb Nortox 800 WP. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Indicado para as culturas de abóbora, alho, amendoim, arroz, batata, berinjela, beterraba, brócolis, café, cebola, cenoura, [1/2]
Nortox S.A. - Arapongas/PR. | Marca comercial: Glufosinate Técnico Nortox. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico equivalente.
Ouro Fino Química S.A. - Uberaba/MG. | Marca comercial: Glufosinato Técnico Ouro Fino | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico equivalente clone.
Adama Brasil S.A. - Londrina/PR. | Marca comercial: Glufosinato de Amônio Técnico Adama Brasil BR. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico equivalente clone.
Rainbow Defensivos Agrícolas Ltda. - Porto Alegre/RS. | Marca comercial: Isoxaflutole Técnico Rainbow. | Classificação toxicológica: Classe III - Medianamente Tóxico. | Trata-se de produto técnico equivalente.
Ameribrás Indústria e Comércio Ltda. - São Paulo/SP. | Marca comercial: Clorotalonil Técnico Fersol. | Classificação toxicológica: Classe I - Extremamente Tóxico. | Trata-se de produto técnico equivalente clone.
